,surface,tourney_date,winner_id,winner_hand,winner_ht,winner_age,loser_id,loser_hand,loser_ht,loser_age,best_of,winner_rank,winner_rank_points,loser_rank,loser_rank_points,Month,Quarter
0,Hard,2018-12-31,105453,R,178.0,29.004791238899998,106421,R,,22.8856947296,3,9.0,3590.0,16.0,1977.0,12,4
1,Hard,2018-12-31,106421,R,,22.8856947296,104542,R,188.0,33.7056810404,3,16.0,1977.0,239.0,200.0,12,4
2,Hard,2018-12-31,105453,R,178.0,29.004791238899998,104871,R,188.0,31.8822724162,3,9.0,3590.0,40.0,1050.0,12,4
3,Hard,2018-12-31,104542,R,188.0,33.7056810404,200282,R,,19.8685831622,3,239.0,200.0,31.0,1298.0,12,4
4,Hard,2018-12-31,106421,R,,22.8856947296,105683,R,196.0,28.010951403099998,3,16.0,1977.0,18.0,1855.0,12,4
5,Hard,2018-12-31,104871,R,188.0,31.8822724162,106034,R,,26.4038329911,3,40.0,1050.0,185.0,275.0,12,4
6,Hard,2018-12-31,105453,R,178.0,29.004791238899998,105777,R,188.0,27.627652293,3,9.0,3590.0,19.0,1835.0,12,4
7,Hard,2018-12-31,104542,R,188.0,33.7056810404,106121,R,,25.9247091034,3,239.0,200.0,77.0,691.0,12,4
8,Hard,2018-12-31,200282,R,,19.8685831622,111442,R,,24.6981519507,3,31.0,1298.0,72.0,715.0,12,4
9,Hard,2018-12-31,106421,R,,22.8856947296,104918,R,190.0,31.630390143699998,3,16.0,1977.0,240.0,200.0,12,4
10,Hard,2018-12-31,105683,R,196.0,28.010951403099998,200175,R,,19.3347022587,3,18.0,1855.0,131.0,433.0,12,4
11,Hard,2018-12-31,104871,R,188.0,31.8822724162,106401,R,193.0,23.6796714579,3,40.0,1050.0,35.0,1125.0,12,4
12,Hard,2018-12-31,106034,R,,26.4038329911,106378,R,,23.9780971937,3,185.0,275.0,14.0,2150.0,12,4
13,Hard,2018-12-31,105777,R,188.0,27.627652293,105357,R,183.0,29.5468856947,3,19.0,1835.0,38.0,1083.0,12,4
14,Hard,2018-12-31,105453,R,178.0,29.004791238899998,106045,R,180.0,26.3709787817,3,9.0,3590.0,63.0,810.0,12,4
15,Hard,2018-12-31,104542,R,188.0,33.7056810404,106423,R,,22.7241615332,3,239.0,200.0,146.0,367.0,12,4
16,Hard,2018-12-31,111442,R,,24.6981519507,106109,L,,25.9849418207,3,72.0,715.0,154.0,352.0,12,4
17,Hard,2018-12-31,200282,R,,19.8685831622,200615,R,,19.405886379200002,3,31.0,1298.0,147.0,367.0,12,4
18,Hard,2018-12-31,104918,R,190.0,31.630390143699998,105902,R,183.0,26.9431895962,3,240.0,200.0,234.0,206.0,12,4
19,Hard,2018-12-31,200175,R,,19.3347022587,104919,R,188.0,31.630390143699998,3,131.0,433.0,56.0,895.0,12,4
20,Hard,2018-12-31,105683,R,196.0,28.010951403099998,105379,R,181.0,29.453798768000002,3,18.0,1855.0,67.0,780.0,12,4
21,Hard,2018-12-31,106401,R,193.0,23.6796714579,105992,R,183.0,26.6502395619,3,35.0,1125.0,62.0,810.0,12,4
22,Hard,2018-12-31,104871,R,188.0,31.8822724162,105526,R,,28.684462696799997,3,40.0,1050.0,57.0,875.0,12,4
23,Hard,2018-12-31,106034,R,,26.4038329911,200005,L,,20.514715948,3,185.0,275.0,102.0,572.0,12,4
24,Hard,2018-12-31,105777,R,188.0,27.627652293,106415,L,,23.2607802875,3,19.0,1835.0,75.0,701.0,12,4
25,Hard,2018-12-31,105357,R,183.0,29.5468856947,105815,R,,27.4442162902,3,38.0,1083.0,61.0,814.0,12,4
26,Hard,2018-12-31,106045,R,180.0,26.3709787817,126203,R,,21.1745379877,3,63.0,810.0,49.0,974.0,12,4
27,Hard,2018-12-31,105138,R,183.0,30.71321013,104607,R,196.0,33.28678987,3,24.0,1605.0,71.0,715.0,12,4
28,Hard,2018-12-31,105138,R,183.0,30.71321013,104925,R,188.0,31.611225188200002,3,24.0,1605.0,1.0,9045.0,12,4
29,Hard,2018-12-31,104607,R,196.0,33.28678987,106065,R,,26.250513347,3,71.0,715.0,20.0,1819.0,12,4
30,Hard,2018-12-31,104925,R,188.0,31.611225188200002,105932,R,185.0,26.8528405202,3,1.0,9045.0,21.0,1795.0,12,4
31,Hard,2018-12-31,105138,R,183.0,30.71321013,104527,R,183.0,33.7604380561,3,24.0,1605.0,66.0,785.0,12,4
32,Hard,2018-12-31,106065,R,,26.250513347,105583,R,180.0,28.5037645448,3,20.0,1819.0,48.0,985.0,12,4
33,Hard,2018-12-31,104607,R,196.0,33.28678987,105732,R,188.0,27.7891854894,3,71.0,715.0,55.0,903.0,12,4
34,Hard,2018-12-31,104925,R,188.0,31.611225188200002,105916,R,,26.893908281999998,3,1.0,9045.0,36.0,1122.0,12,4
35,Hard,2018-12-31,105932,R,185.0,26.8528405202,126094,R,,21.196440794,3,21.0,1795.0,68.0,760.0,12,4
36,Hard,2018-12-31,104527,R,183.0,33.7604380561,111797,R,,23.2224503765,3,66.0,785.0,43.0,1022.0,12,4
37,Hard,2018-12-31,105138,R,183.0,30.71321013,104198,R,188.0,35.575633128,3,24.0,1605.0,105.0,543.0,12,4
38,Hard,2018-12-31,105583,R,180.0,28.5037645448,105575,R,175.0,28.5284052019,3,48.0,985.0,116.0,507.0,12,4
39,Hard,2018-12-31,106065,R,,26.250513347,105550,L,185.0,28.624229979499997,3,20.0,1819.0,58.0,860.0,12,4
40,Hard,2018-12-31,104607,R,196.0,33.28678987,104269,L,188.0,35.1266255989,3,71.0,715.0,28.0,1410.0,12,4
41,Hard,2018-12-31,105732,R,188.0,27.7891854894,109739,L,,23.545516769299997,3,55.0,903.0,74.0,706.0,12,4
42,Hard,2018-12-31,104925,R,188.0,31.611225188200002,106000,R,172.0,26.614647501700002,3,1.0,9045.0,47.0,985.0,12,4
43,Hard,2018-12-31,105916,R,,26.893908281999998,105657,R,193.0,28.205338809,3,36.0,1122.0,60.0,823.0,12,4
44,Hard,2018-12-31,126094,R,,21.196440794,104312,R,190.0,34.858316221799996,3,68.0,760.0,37.0,1106.0,12,4
45,Hard,2018-12-31,105932,R,185.0,26.8528405202,105077,L,188.0,30.954140999299998,3,21.0,1795.0,65.0,790.0,12,4
46,Hard,2018-12-31,104527,R,183.0,33.7604380561,111575,R,,22.611909650900003,3,66.0,785.0,11.0,2835.0,12,4
47,Hard,2018-12-31,111797,R,,23.2224503765,104898,R,190.0,31.7371663244,3,43.0,1022.0,50.0,965.0,12,4
48,Hard,2018-12-31,104198,R,188.0,35.575633128,122570,U,,23.7152635181,3,105.0,543.0,,,12,4
49,Hard,2018-12-31,105138,R,183.0,30.71321013,126610,R,,22.7186858316,3,24.0,1605.0,54.0,932.0,12,4
50,Hard,2018-12-31,105575,R,175.0,28.5284052019,105676,R,163.0,28.065708418899998,3,116.0,507.0,22.0,1785.0,12,4
51,Hard,2018-12-31,105583,R,180.0,28.5037645448,105173,L,183.0,30.5051334702,3,48.0,985.0,42.0,1045.0,12,4
52,Hard,2018-12-31,105550,L,185.0,28.624229979499997,117356,R,,23.3620807666,3,58.0,860.0,249.0,183.0,12,4
53,Hard,2018-12-31,106065,R,,26.250513347,104660,R,193.0,32.9828884326,3,20.0,1819.0,134.0,424.0,12,4
54,Hard,2018-12-31,104269,L,188.0,35.1266255989,103893,R,183.0,37.043121149899996,3,28.0,1410.0,109.0,525.0,12,4
55,Hard,2018-12-31,104607,R,196.0,33.28678987,104259,R,178.0,35.2087611225,3,71.0,715.0,34.0,1125.0,12,4
56,Hard,2018-12-31,109739,L,,23.545516769299997,105376,R,185.0,29.4620123203,3,74.0,706.0,59.0,855.0,12,4
57,Hard,2018-12-31,105732,R,188.0,27.7891854894,106233,R,185.0,25.325119780999998,3,55.0,903.0,8.0,4095.0,12,4
58,Hard,2018-12-31,104731,R,203.0,32.6214921287,103333,R,208.0,39.8384668036,3,6.0,4710.0,100.0,589.0,12,4
59,Hard,2018-12-31,104731,R,203.0,32.6214921287,104468,R,183.0,34.0095824778,3,6.0,4710.0,30.0,1370.0,12,4
60,Hard,2018-12-31,103333,R,208.0,39.8384668036,104327,R,178.0,34.8008213552,3,100.0,589.0,,,12,4
61,Hard,2018-12-31,104731,R,203.0,32.6214921287,144719,R,,21.6563997262,3,6.0,4710.0,81.0,663.0,12,4
62,Hard,2018-12-31,104468,R,183.0,34.0095824778,105332,R,196.0,29.648186173899997,3,30.0,1370.0,52.0,935.0,12,4
63,Hard,2018-12-31,104327,R,178.0,34.8008213552,104291,R,185.0,34.945927446999995,3,,,45.0,1014.0,12,4
64,Hard,2018-12-31,103333,R,208.0,39.8384668036,105208,R,190.0,30.3353867214,3,100.0,589.0,95.0,612.0,12,4
65,Hard,2018-12-31,104731,R,203.0,32.6214921287,111513,R,,23.5811088296,3,6.0,4710.0,93.0,621.0,12,4
66,Hard,2018-12-31,144719,R,,21.6563997262,104620,R,183.0,33.229295003400004,3,81.0,663.0,141.0,384.0,12,4
67,Hard,2018-12-31,104468,R,183.0,34.0095824778,125802,R,,24.848733744,3,30.0,1370.0,91.0,622.0,12,4
68,Hard,2018-12-31,105332,R,196.0,29.648186173899997,106210,L,,25.475701574299997,3,52.0,935.0,89.0,629.0,12,4
69,Hard,2018-12-31,104327,R,178.0,34.8008213552,111581,R,,20.9719370294,3,,,103.0,563.0,12,4
70,Hard,2018-12-31,104291,R,185.0,34.945927446999995,106368,R,,24.1451060917,3,45.0,1014.0,132.0,433.0,12,4
71,Hard,2018-12-31,103333,R,208.0,39.8384668036,105539,R,185.0,28.6461327858,3,100.0,589.0,97.0,594.0,12,4
72,Hard,2018-12-31,105208,R,190.0,30.3353867214,111202,R,,22.6173853525,3,95.0,612.0,25.0,1585.0,12,4
73,Hard,2018-12-31,111513,R,,23.5811088296,111459,R,,24.980150581799997,3,93.0,621.0,392.0,37.0,12,4
74,Hard,2018-12-31,104620,R,183.0,33.229295003400004,104797,R,188.0,32.3148528405,3,141.0,384.0,92.0,622.0,12,4
75,Hard,2018-12-31,144719,R,,21.6563997262,105430,R,,29.1362080767,3,81.0,663.0,98.0,592.0,12,4
76,Hard,2018-12-31,125802,R,,24.848733744,128034,R,,21.883641341500002,3,91.0,622.0,86.0,636.0,12,4
77,Hard,2018-12-31,106210,L,,25.475701574299997,126156,R,,23.1567419576,3,89.0,629.0,149.0,359.0,12,4
78,Hard,2018-12-31,105332,R,196.0,29.648186173899997,106329,L,,24.5859000684,3,52.0,935.0,120.0,475.0,12,4
79,Hard,2018-12-31,104327,R,178.0,34.8008213552,106148,R,,25.774127310100003,3,,,73.0,714.0,12,4
80,Hard,2018-12-31,111581,R,,20.9719370294,105432,L,,29.133470225900002,3,103.0,563.0,110.0,521.0,12,4
81,Hard,2018-12-31,106368,R,,24.1451060917,104719,R,190.0,32.720054757,3,132.0,433.0,96.0,598.0,12,4
82,Hard,2018-12-31,105539,R,185.0,28.6461327858,104665,R,180.0,32.9363449692,3,97.0,594.0,82.0,658.0,12,4
83,Hard,2018-12-31,103333,R,208.0,39.8384668036,200000,R,,18.3956194387,3,100.0,589.0,108.0,527.0,12,4
84,Hard,2018-12-31,105208,R,190.0,30.3353867214,105155,R,180.0,30.5954825462,3,95.0,612.0,104.0,550.0,12,4
85,Hard,2019-01-07,105815,R,,27.463381245700003,111815,L,,23.375770020500003,3,63.0,814.0,93.0,616.0,1,1
