name,rank,win,win_rate
N.Djokovic,1,31968,31.97
D.Thiem,3,20816,20.82
R.Nadal,2,18090,18.09
D.Medvedev,4,16237,16.24
S.Tsitsipas,6,3664,3.66
A.Zverev,7,3420,3.42
A.Rublev,8,1682,1.68
M.Berrettini,10,553,0.55
D.Schwartzman,9,549,0.55
D.Shapovalov,12,455,0.46
F.Auger-Aliassime,21,297,0.3
M.Raonic,15,257,0.26
G.Monfils,11,213,0.21
K.Khachanov,20,205,0.2
R.Bautista Agut,13,199,0.2
D.Goffin,14,189,0.19
P.Carreno Busta,16,166,0.17
G.Dimitrov,19,160,0.16
F.Fognini,17,114,0.11
A.de Minaur,23,86,0.09
S.Wawrinka,18,71,0.07
R.Opelka,40,66,0.07
B.Coric,25,64,0.06
H.Hurkacz,29,42,0.04
C.Ruud,27,42,0.04
B.Paire,28,37,0.04
L.Sonego,34,36,0.04
T.Fritz,30,33,0.03
F.Krajinovic,31,27,0.03
D.Lajovic,26,27,0.03
U.Humbert,32,24,0.02
J.Struff,37,21,0.02
M.Kecmanovic,42,18,0.02
J.Sinner,36,17,0.02
D.Evans,33,16,0.02
A.Bublik,45,15,0.02
N.Kyrgios,47,15,0.02
A.Mannarino,35,11,0.01
M.Cilic,43,10,0.01
G.Pella,44,8,0.01
J.Millman,38,7,0.01
N.Basilashvili,39,7,0.01
K.Nishikori,41,5,0.0
T.Sandgren,50,5,0.0
J.Thompson,52,4,0.0
F.Lopez,63,4,0.0
S.Querrey,51,4,0.0
M.Fucsovics,55,4,0.0
L.Djere,56,4,0.0
A.Ramos-Vinolas,46,3,0.0
L.Harris,91,3,0.0
C.Norrie,67,3,0.0
V.Pospisil,61,3,0.0
T.Paul,53,2,0.0
J.Vesely,69,2,0.0
A.Popyrin,114,2,0.0
A.Bedene,58,2,0.0
P.Andujar,59,2,0.0
G.Simon,64,1,0.0
M.Cecchinato,79,1,0.0
S.Kwon,97,1,0.0
I.Ivashka,110,1,0.0
R.Carballes Baena,98,1,0.0
E.Gerasimov,78,1,0.0
N.Gombos,89,1,0.0
H.Dellien,112,1,0.0
C.Moutet,80,1,0.0
D.Koepfer,68,1,0.0
M.Giron,73,1,0.0
G.Mager,96,1,0.0
K.Majchrzak,109,1,0.0
A.Bolt,174,1,0.0
P.Cuevas,70,0,0.0
P.Herbert,84,0,0.0
R.Safiullin,182,0,0.0
S.Caruso,76,0,0.0
H.Laaksonen,136,0,0.0
A.Seppi,107,0,0.0
A.Balazs,94,0,0.0
M.Ymer,95,0,0.0
V.Troicki,202,0,0.0
K.Anderson,82,0,0.0
M.Vilella Martinez,188,0,0.0
T.Machac,197,0,0.0
S.Nagal,139,0,0.0
M.Mmoh,177,0,0.0
T.Kokkinakis,266,0,0.0
B.Van de Zandschulp,159,0,0.0
A.Vukic,195,0,0.0
C.Alcaraz,146,0,0.0
R.Berankis,72,0,0.0
S.Travaglia,71,0,0.0
Q.Halys,206,0,0.0
R.Haase,198,0,0.0
Y.Uchiyama,106,0,0.0
F.Ferreira Silva,184,0,0.0
M.Kukushkin,90,0,0.0
F.Tiafoe,62,0,0.0
M.Cressy,171,0,0.0
T.Daniel,117,0,0.0
D.Novak,100,0,0.0
S.Stakhovsky,201,0,0.0
P.Martinez,87,0,0.0
Y.Nishioka,57,0,0.0
E.Ruusuvuori,86,0,0.0
F.Coria,92,0,0.0
M.Polmans,125,0,0.0
P.Sousa,108,0,0.0
Y.Lu,1008,0,0.0
K.Coppejans,178,0,0.0
Y.Sugita,104,0,0.0
B.Tomic,229,0,0.0
T.Monteiro,83,0,0.0
M.McDonald,194,0,0.0
M.Torpegaard,193,0,0.0
R.Albot,85,0,0.0
C.O'Connell,121,0,0.0
L.Tu,1001,0,0.0
A.Martin,102,0,0.0
J.Chardy,66,0,0.0
D.Dzumhur,120,0,0.0
E.Ymer,204,0,0.0
J.Londero,81,0,0.0
A.Muller,209,0,0.0
A.Karatsev,113,0,0.0
C.Stebe,128,0,0.0
J.Duckworth,105,0,0.0
Y.Hanfmann,101,0,0.0
