rank,win
1,4488
4,1942
3,1794
2,849
6,338
7,271
8,90
10,30
9,24
15,20
21,17
16,12
20,11
23,9
14,7
25,6
19,5
27,5
28,5
34,5
47,5
40,5
30,5
26,4
11,4
56,3
31,3
17,3
13,3
36,3
12,2
43,2
29,2
62,2
45,2
52,2
37,2
38,1
63,1
97,1
95,1
61,1
78,1
86,1
120,1
91,1
83,1
105,1
117,1
100,1
42,1
84,1
110,1
71,1
70,1
32,1
50,1
177,0
182,0
94,0
82,0
98,0
33,0
206,0
202,0
59,0
198,0
67,0
266,0
108,0
64,0
46,0
159,0
146,0
107,0
18,0
195,0
72,0
76,0
139,0
44,0
136,0
197,0
188,0
55,0
201,0
79,0
106,0
104,0
57,0
41,0
69,0
178,0
89,0
174,0
87,0
58,0
194,0
184,0
112,0
68,0
90,0
73,0
171,0
109,0
35,0
229,0
128,0
96,0
113,0
193,0
114,0
125,0
85,0
121,0
39,0
80,0
51,0
1001,0
102,0
1008,0
101,0
66,0
92,0
204,0
81,0
209,0
53,0
